rpm,hp,torque
1000,0.1,0.3
1010,0.1,0.3
1020,0.1,0.3
1030,0.1,0.3
1040,0.1,0.3
1050,0.1,0.3
1060,0.1,0.3
1070,0.1,0.33
1080,0.1,0.36
1090,0.1,0.33
1100,0.1,0.3
1110,0.1,0.32
1120,0.1,0.36
1130,0.1,0.41
1140,0.1,0.48
1150,0.1,0.45
1160,0.1,0.48
1170,0.1,0.51
1180,0.1,0.54
1190,0.1,0.57
1200,0.1,0.6
1210,0.1,0.62
1220,0.1,0.64
1230,0.1,0.66
1240,0.1,0.68
1250,0.1,0.7
1260,0.1,0.72
1270,0.1,0.74
1280,0.1,0.76
1290,0.1,0.78
1300,0.1,0.8
1310,0.12,0.83
1320,0.13,0.86
1330,0.14,0.89
1340,0.15,0.92
1350,0.15,0.95
1360,0.16,0.98
1370,0.17,1.01
1380,0.18,1.04
1390,0.19,1.07
1400,0.2,1.1
1410,0.21,1.13
1420,0.22,1.16
1430,0.23,1.19
1440,0.24,1.22
1450,0.25,1.25
1460,0.26,1.28
1470,0.27,1.31
1480,0.28,1.34
1490,0.29,1.37
1500,0.3,1.4
1510,0.31,1.43
1520,0.32,1.46
1530,0.33,1.48
1540,0.34,1.49
1550,0.35,1.5
1560,0.36,1.52
1570,0.37,1.54
1580,0.38,1.56
1590,0.39,1.58
1600,0.4,1.6
1610,0.41,1.63
1620,0.42,1.66
1630,0.43,1.69
1640,0.44,1.72
1650,0.45,1.75
1660,0.46,1.78
1670,0.47,1.81
1680,0.48,1.84
1690,0.49,1.87
1700,0.5,1.9
1710,0.5,1.92
1720,0.5,1.94
1730,0.5,1.96
1740,0.5,1.98
1750,0.5,2
1760,0.51,2.02
1770,0.52,2.04
1780,0.53,2.08
1790,0.54,2.12
1800,0.5,2.1
1810,0.51,2.13
1820,0.52,2.16
1830,0.53,2.19
1840,0.54,2.22
1850,0.55,2.25
1860,0.56,2.28
1870,0.57,2.31
1880,0.58,2.34
1890,0.59,2.37
1900,0.6,2.4
1910,0.61,2.43
1920,0.62,2.46
1930,0.63,2.48
1940,0.64,2.49
1950,0.65,2.5
1960,0.66,2.52
1970,0.67,2.54
1980,0.68,2.56
1990,0.69,2.58
2000,0.7,2.6
