type,latitude,longitude,altitude (m),name,desc,corr_latitude,corr_longitude
T,25.49250021,51.44766642,11,New Lusail,,25.4926,51.44767
T,25.49253331,51.44764515,10.9,,,25.49254,51.44765
T,25.49257687,51.44762538,10.8,,,25.49258,51.44763
T,25.4926039,51.44761794,10.8,,,25.49261,51.44762
T,25.49263429,51.44760345,10.7,,,25.49264,51.44761
T,25.49269206,51.44758485,10.5,,,25.4927,51.44759
T,25.49274745,51.44756959,10.3,,,25.49275,51.44757
T,25.49278929,51.44756316,10.2,,,25.49279,51.44757
T,25.49282803,51.44756054,10.1,,,25.49283,51.44757
T,25.49287784,51.44755959,10,,,25.49288,51.44756
T,25.49291008,51.44755803,9.9,,,25.49292,51.44756
T,25.49294625,51.44755925,9.9,,,25.49295,51.44756
T,25.49298291,51.44756718,9.9,,,25.49299,51.44757
T,25.49299717,51.44757376,9.9,,,25.493,51.44758
T,25.4930272,51.44757913,9.9,,,25.49303,51.44758
T,25.49304881,51.44758926,10,,,25.49305,51.44759
T,25.49307438,51.44760294,10.2,,,25.49308,51.44761
T,25.49309899,51.44762196,10.5,,,25.4931,51.44763
T,25.49312596,51.44763736,10.7,,,25.49313,51.44764
T,25.49314424,51.44765623,11,,,25.49315,51.44766
T,25.49316541,51.44767749,11.3,,,25.49317,51.44768
T,25.49319606,51.44770467,11.7,,,25.4932,51.44771
T,25.49322175,51.44773124,12.1,,,25.49323,51.44774
T,25.49324483,51.44775045,12.4,,,25.49325,51.44776
T,25.49326547,51.44777392,12.7,,,25.49327,51.44778
T,25.49328642,51.44781476,13,,,25.49329,51.44782
T,25.4933132,51.4478889,13.3,,,25.49332,51.44789
T,25.49332593,51.44791495,13.5,,,25.49333,51.44792
T,25.49332885,51.4479482,13.6,,,25.49333,51.44795
T,25.4933358,51.44797604,13.7,,,25.49334,51.44798
T,25.49333712,51.44800277,13.8,,,25.49334,51.44801
T,25.49333712,51.4480041,13.8,,,25.49334,51.44801
T,25.49333984,51.44803348,13.9,,,25.49334,51.44804
T,25.49333689,51.44807101,13.9,,,25.49334,51.44808
T,25.4933368,51.4480991,13.7,,,25.49334,51.4481
T,25.49333679,51.44810044,13.7,,,25.49334,51.44811
T,25.49333677,51.44810847,13.6,,,25.49334,51.44811
T,25.49333673,51.4481205,13.5,,,25.49334,51.44813
T,25.49332265,51.4482353,12.7,,,25.49333,51.44824
T,25.4933171,51.44828502,12.3,,,25.49332,51.44829
T,25.49331701,51.44830173,12.2,,,25.49332,51.44831
T,25.49331692,51.44831566,12.1,,,25.49332,51.44832
T,25.4933082,51.44833214,12,,,25.49331,51.44834
T,25.49330815,51.44834049,12,,,25.49331,51.44835
T,25.49330809,51.44834884,11.9,,,25.49331,51.44835
T,25.49329651,51.44836519,11.8,,,25.4933,51.44837
T,25.49329068,51.44838169,11.7,,,25.4933,51.44839
T,25.49328775,51.44839271,11.6,,,25.49329,51.4484
T,25.49328199,51.44839808,11.6,,,25.49329,51.4484
T,25.49327619,51.44841176,11.5,,,25.49328,51.44842
T,25.4932647,51.44842246,11.4,,,25.49327,51.44843
T,25.4932618,51.44843068,11.4,,,25.49327,51.44844
T,25.49324745,51.44845232,11.3,,,25.49325,51.44846
T,25.49323597,51.44846571,11.2,,,25.49324,51.44847
T,25.49322725,51.44848469,11.1,,,25.49323,51.44849
T,25.49321852,51.44850364,11,,,25.49322,51.44851
T,25.49320413,51.44852507,10.9,,,25.49321,51.44853
T,25.49320113,51.4485387,10.9,,,25.49321,51.44854
T,25.49319533,51.44855219,10.8,,,25.4932,51.44856
T,25.49319522,51.44856043,10.8,,,25.4932,51.44857
T,25.49319208,51.44858502,10.6,,,25.4932,51.44859
T,25.49319194,51.448596,10.6,,,25.4932,51.4486
T,25.49319179,51.44860698,10.5,,,25.4932,51.44861
T,25.49319154,51.44862619,10.5,,,25.4932,51.44863
T,25.49318297,51.44864499,10.4,,,25.49319,51.44865
T,25.49317462,51.44865832,10.4,,,25.49318,51.44866
T,25.49316631,51.4486744,10.4,,,25.49317,51.44868
T,25.49315503,51.44868748,10.4,,,25.49316,51.44869
T,25.49314939,51.44869264,10.4,,,25.49315,51.4487
T,25.49313804,51.44871114,10.3,,,25.49314,51.44872
T,25.49312964,51.44871885,10.3,,,25.49313,51.44872
T,25.49312409,51.44873222,10.3,,,25.49313,51.44874
T,25.49311583,51.44874544,10.3,,,25.49312,51.44875
T,25.49310754,51.4487641,10.3,,,25.49311,51.44877
T,25.49310197,51.44877742,10.2,,,25.49311,51.44878
T,25.49309914,51.44878542,10.2,,,25.4931,51.44879
T,25.49309336,51.44879861,10.2,,,25.4931,51.4488
T,25.4930876,51.44881181,10.2,,,25.49309,51.44882
T,25.49308201,51.4488196,10.2,,,25.49309,51.44882
T,25.49307371,51.4488272,10.2,,,25.49308,51.44883
T,25.49306519,51.44884832,10.1,,,25.49307,51.44885
T,25.49305692,51.4488559,10.1,,,25.49306,51.44886
T,25.49304858,51.44886888,10.1,,,25.49305,51.44887
T,25.49304295,51.44888201,10.1,,,25.49305,51.44889
T,25.49303737,51.44888972,10.1,,,25.49304,51.44889
T,25.49302627,51.44890241,10.1,,,25.49303,51.44891
T,25.49302615,51.4489105,10.1,,,25.49303,51.44892
T,25.49302052,51.44892356,10.1,,,25.49303,51.44893
T,25.49301776,51.44892605,10.1,,,25.49302,51.44893
T,25.49300945,51.4489362,10.2,,,25.49301,51.44894
T,25.49299841,51.44894882,10.2,,,25.493,51.44895
T,25.4929874,51.44896141,10.2,,,25.49299,51.44897
T,25.4929818,51.4489744,10.3,,,25.49299,51.44898
T,25.49297364,51.44898183,10.3,,,25.49298,51.44899
T,25.49296548,51.44899195,10.3,,,25.49297,51.449
T,25.49295194,51.4490043,10.4,,,25.49296,51.44901
T,25.49294379,51.44901707,10.4,,,25.49295,51.44902
T,25.49293831,51.44902733,10.4,,,25.49294,51.44903
T,25.49293016,51.44903735,10.5,,,25.49294,51.44904
T,25.49292491,51.44904773,10.5,,,25.49293,51.44905
T,25.49291435,51.44905766,10.5,,,25.49292,51.44906
T,25.49290382,51.44907027,10.5,,,25.49291,51.44908
T,25.49290119,51.44907275,10.6,,,25.49291,51.44908
T,25.49288772,51.4490849,10.6,,,25.49289,51.44909
T,25.49287962,51.44909751,10.6,,,25.49288,51.4491
T,25.49287692,51.4491026,10.6,,,25.49288,51.44911
T,25.49287153,51.44911278,10.7,,,25.49288,51.44912
T,25.49286345,51.44912,10.7,,,25.49287,51.44912
T,25.4928527,51.44913228,10.7,,,25.49286,51.44914
T,25.49283928,51.4491496,10.8,,,25.49284,51.44915
T,25.49283125,51.44915677,10.8,,,25.49284,51.44916
T,25.4928178,51.44916862,10.9,,,25.49282,51.44917
T,25.49280705,51.44917808,10.9,,,25.49281,51.44918
T,25.49279901,51.44918516,11,,,25.4928,51.44919
T,25.49279365,51.44919785,11.1,,,25.4928,51.4492
T,25.49278562,51.44920756,11.1,,,25.49279,51.44921
T,25.49277747,51.44921183,11.2,,,25.49278,51.44922
T,25.49276707,51.44922142,11.2,,,25.49277,51.44923
T,25.4927566,51.44923357,11.2,,,25.49276,51.44924
T,25.49275134,51.44923564,11.2,,,25.49276,51.44924
T,25.49273541,51.44924697,11.2,,,25.49274,51.44925
T,25.49272743,51.44925654,11.3,,,25.49273,51.44926
T,25.49271659,51.44926822,11.3,,,25.49272,51.44927
T,25.49270848,51.44928291,11.3,,,25.49271,51.44929
T,25.49270044,51.44928971,11.3,,,25.49271,51.44929
T,25.49268718,51.44930111,11.3,,,25.49269,51.44931
T,25.49267659,51.44931546,11.3,,,25.49268,51.44932
T,25.49266609,51.44932459,11.3,,,25.49267,51.44933
T,25.49265836,51.44933418,11.3,,,25.49266,51.44934
T,25.4926532,51.4493388,11.3,,,25.49266,51.44934
T,25.49263769,51.44935259,11.3,,,25.49264,51.44936
T,25.49262734,51.4493591,11.3,,,25.49263,51.44936
T,25.49261701,51.44936561,11.3,,,25.49262,51.44937
T,25.49260924,51.44937501,11.3,,,25.49261,51.44938
T,25.49260147,51.44938438,11.3,,,25.49261,51.44939
T,25.49259112,51.44939338,11.3,,,25.4926,51.4494
T,25.4925808,51.44940237,11.2,,,25.49259,51.44941
T,25.49257053,51.44941396,11.2,,,25.49258,51.44942
T,25.49256537,51.44941582,11.2,,,25.49257,51.44942
T,25.49255261,51.44943226,11.2,,,25.49256,51.44944
T,25.49255264,51.44943489,11.2,,,25.49256,51.44944
T,25.49253991,51.44945388,11.2,,,25.49254,51.44946
T,25.49253227,51.44946576,11.2,,,25.49254,51.44947
T,25.49252718,51.4494728,11.2,,,25.49253,51.44948
T,25.492517,51.44948424,11.2,,,25.49252,51.44949
T,25.4925094,51.44949607,11.2,,,25.49251,51.4495
T,25.49249416,51.44950926,11.2,,,25.4925,51.44951
T,25.49248398,51.44951538,11.1,,,25.49249,51.44952
T,25.49247635,51.44952189,11.1,,,25.49248,51.44953
T,25.49246112,51.44953744,11.1,,,25.49247,51.44954
T,25.49245102,51.44955381,11,,,25.49246,51.44956
T,25.49244091,51.44955469,11,,,25.49245,51.44956
T,25.49243839,51.44955684,11,,,25.49244,51.44956
T,25.49243101,51.44957893,11,,,25.49244,51.44958
T,25.4924235,51.4495854,11,,,25.49243,51.44959
T,25.49241856,51.44959749,11,,,25.49242,51.4496
T,25.4924161,51.44960738,11,,,25.49242,51.44961
T,25.49241097,51.44962171,11,,,25.49242,51.44963
T,25.49240366,51.44964631,11,,,25.49241,51.44965
T,25.49240129,51.44965629,11.1,,,25.49241,51.44966
